,tweet_id,timestamp,text,expanded_urls,rating_numerator,rating_denominator,name,breed,jpg_url,img_num,p1,p1_conf,p1_dog,p2,p2_conf,p2_dog,p3,p3_conf,p3_dog,retweet_count,favorite_count
0,892420643555336193,2017-08-01,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 ,https://twitter.com/dog_rates/status/892420643555336193/photo/1,13,10,Phineas,,https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg,1.0,Orange,0.0970486,False,Bagel,0.08585110000000001,False,Banana,0.07611,False,7863.0,36911.0
1,892177421306343426,2017-08-01,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 ",https://twitter.com/dog_rates/status/892177421306343426/photo/1,13,10,Tilly,,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,1.0,Chihuahua,0.323581,True,Pekinese,0.0906465,True,Papillon,0.0689569,True,5838.0,31764.0
2,891815181378084864,2017-07-31,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 ,https://twitter.com/dog_rates/status/891815181378084864/photo/1,12,10,Archie,,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,1.0,Chihuahua,0.716012,True,Malamute,0.078253,True,Kelpie,0.0313789,True,3853.0,23938.0
3,891689557279858688,2017-07-30,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us ,https://twitter.com/dog_rates/status/891689557279858688/photo/1,13,10,Darla,,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,1.0,Paper_Towel,0.17027799999999998,False,Labrador_Retriever,0.168086,True,Spatula,0.0408359,False,8029.0,40232.0
4,891327558926688256,2017-07-29,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek ","https://twitter.com/dog_rates/status/891327558926688256/photo/1,https://twitter.com/dog_rates/status/891327558926688256/photo/1",12,10,Franklin,,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,2.0,Basset,0.555712,True,English_Springer,0.22577,True,German_Short-Haired_Pointer,0.175219,True,8690.0,38427.0
5,890971913173991426,2017-07-28,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

 ","https://gofundme.com/ydvmve-surgery-for-jax,https://twitter.com/dog_rates/status/890971913173991426/photo/1",13,10,Jax,,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,1.0,Appenzeller,0.34170300000000003,True,Border_Collie,0.199287,True,Ice_Lolly,0.193548,False,1906.0,11264.0
6,890609185150312448,2017-07-27,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek ,https://twitter.com/dog_rates/status/890609185150312448/photo/1,13,10,Zoey,,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,1.0,Irish_Terrier,0.487574,True,Irish_Setter,0.193054,True,Chesapeake_Bay_Retriever,0.118184,True,3990.0,26602.0
7,890240255349198849,2017-07-26,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate ,https://twitter.com/dog_rates/status/890240255349198849/photo/1,14,10,Cassie,doggo,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,1.0,Pembroke,0.511319,True,Cardigan,0.451038,True,Chihuahua,0.0292482,True,6837.0,30451.0
8,890006608113172480,2017-07-26,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek ,"https://twitter.com/dog_rates/status/890006608113172480/photo/1,https://twitter.com/dog_rates/status/890006608113172480/photo/1",13,10,Koda,,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,1.0,Samoyed,0.957979,True,Pomeranian,0.0138835,True,Chow,0.00816748,True,6822.0,29310.0
9,889880896479866881,2017-07-25,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy ,https://twitter.com/dog_rates/status/889880896479866881/photo/1,13,10,Bruno,,https://pbs.twimg.com/media/DFl99B1WsAITKsg.jpg,1.0,French_Bulldog,0.377417,True,Labrador_Retriever,0.151317,True,Muzzle,0.0829811,False,4643.0,26610.0
10,889638837579907072,2017-07-25,This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist ,"https://twitter.com/dog_rates/status/889638837579907072/photo/1,https://twitter.com/dog_rates/status/889638837579907072/photo/1",12,10,Ted,,https://pbs.twimg.com/media/DFihzFfXsAYGDPR.jpg,1.0,French_Bulldog,0.99165,True,Boxer,0.00212864,True,Staffordshire_Bullterrier,0.00149818,True,4185.0,25848.0
11,889531135344209921,2017-07-24,This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only. 13/10 puppared puppo #BarkWeek ,https://twitter.com/dog_rates/status/889531135344209921/photo/1,13,10,Stuart,puppo,https://pbs.twimg.com/media/DFg_2PVW0AEHN3p.jpg,1.0,Golden_Retriever,0.953442,True,Labrador_Retriever,0.0138341,True,Redbone,0.00795775,True,2102.0,14442.0
12,889278841981685760,2017-07-24,This is Oliver. You're witnessing one of his many brutal attacks. Seems to be playing with his victim. 13/10 fr*ckin frightening #BarkWeek ,https://twitter.com/dog_rates/status/889278841981685760/video/1,13,10,Oliver,,https://pbs.twimg.com/ext_tw_video_thumb/889278779352338437/pu/img/VlbFB3v8H8VwzVNY.jpg,1.0,Whippet,0.626152,True,Borzoi,0.194742,True,Saluki,0.0273507,True,4978.0,24038.0
13,888917238123831296,2017-07-23,This is Jim. He found a fren. Taught him how to sit like the good boys. 12/10 for both ,https://twitter.com/dog_rates/status/888917238123831296/photo/1,12,10,Jim,,https://pbs.twimg.com/media/DFYRgsOUQAARGhO.jpg,1.0,Golden_Retriever,0.714719,True,Tibetan_Mastiff,0.120184,True,Labrador_Retriever,0.105506,True,4193.0,27795.0
14,888804989199671297,2017-07-22,This is Zeke. He has a new stick. Very proud of it. Would like you to throw it for him without taking it. 13/10 would do my best ,"https://twitter.com/dog_rates/status/888804989199671297/photo/1,https://twitter.com/dog_rates/status/888804989199671297/photo/1",13,10,Zeke,,https://pbs.twimg.com/media/DFWra-3VYAA2piG.jpg,1.0,Golden_Retriever,0.46976,True,Labrador_Retriever,0.184172,True,English_Setter,0.0734817,True,3963.0,24417.0
15,888554962724278272,2017-07-22,This is Ralphus. He's powering up. Attempting maximum borkdrive. 13/10 inspirational af ,"https://twitter.com/dog_rates/status/888554962724278272/photo/1,https://twitter.com/dog_rates/status/888554962724278272/photo/1,https://twitter.com/dog_rates/status/888554962724278272/photo/1,https://twitter.com/dog_rates/status/888554962724278272/photo/1",13,10,Ralphus,,https://pbs.twimg.com/media/DFTH_O-UQAACu20.jpg,3.0,Siberian_Husky,0.700377,True,Eskimo_Dog,0.166511,True,Malamute,0.111411,True,3262.0,18883.0
